code,date,BonusShares,Allotment,AllotmentPrice,Dividends
SH600054,20140519,0,0,0,0.04
SH600054,20150611,0,0,0,0.06
SH600054,20160627,0.5,0,0,0.18
SH600054,20170626,0,0,0,0.19
SH600054,20180702,0,0,0,0.24
SH600054,20190626,0,0,0,0.132
SH600055,19980407,1,0,0,0
SH600055,19990622,0,0,0,0.15
SH600055,19991104,0,0.3,9,0
SH600055,20000606,0,0,0,0.1
SH600055,20010518,0,0,0,0.2
SH600055,20020620,0,0,0,0.1
SH600055,20030623,0,0,0,0.1
SH600055,20040614,0.3,0,0,0.12
SH600055,20050613,0,0,0,0.08
SH600055,20060411,0.38,0,0,0
SH600055,20060810,0,0,0,0.05
SH600055,20070620,0,0,0,0.05
SH600055,20080606,0.5,0,0,0.0223
SH600055,20090728,0,0,0,0.06
SH600055,20100610,0,0,0,0.06
SH600055,20110704,0,0,0,0.07
SH600055,20130617,0,0,0,0.05
SH600055,20140731,0,0,0,0.05
SH600055,20150723,0,0,0,0.04
SH600055,20160627,0.6,0,0,0.05
SH600055,20170602,0.4,0,0,0.15
SH600055,20180712,0,0,0,0.05
SH600055,20190619,0,0,0,0.1
SH600056,19981113,0,0,0,0.4
SH600056,20000607,0,0,0,0.2
SH600056,20001030,0,0.3,12.5,0
SH600056,20010619,0,0,0,0.1
SH600056,20020611,0,0,0,0.1
SH600056,20030610,0.6,0,0,0.1
SH600056,20040525,0,0,0,0.1
SH600056,20060519,0,0,0,0.6
SH600056,20060613,0.491,0,0,0
SH600056,20080610,0,0,0,0.4
SH600056,20100513,0.3,0,0,0.2
SH600056,20110525,0,0,0,0.05
SH600056,20120621,0,0,0,0.1
SH600056,20130509,0,0,0,0.35
SH600056,20140619,1,0,0,0.2873
SH600056,20150619,0,0,0,0.163
SH600056,20160530,0,0,0,0.1821
SH600056,20170614,0,0,0,0.2662
SH600056,20180615,0,0,0,0.3646
SH600056,20190614,0,0,0,0.4337
SH600057,19980824,0.7,0,0,0
SH600057,19990701,0,0.176,19,0
SH600057,19990908,0.8,0,0,0.124
SH600057,20030602,0.2,0,0,0.38
SH600057,20040611,0,0,0,0.32
SH600057,20060303,0.35,0,0,0
SH600057,20170713,0,0,0,0.1
SH600057,20171228,0,0.25,6.1,0
SH600057,20180607,0.48,0,0,0.1
SH600057,20190604,0,0,0,0.12
SH600057,20191008,0,0,0,0.12
SH600058,19980529,0.3,0,0,0
SH600058,19980817,0,0.231,10,0
SH600058,20000720,0,0,0,0.3
SH600058,20020625,0,0,0,0.3
SH600058,20030613,0.3,0,0,0.3
SH600058,20040614,0,0,0,0.12
SH600058,20041021,0.5,0,0,0
SH600058,20050624,0,0,0,0.2
SH600058,20060405,0.3,0,0,0
SH600058,20060717,0,0,0,0.3
SH600058,20070621,0,0,0,0.3
SH600058,20080303,0,0.3,18,0
SH600058,20080606,0,0,0,0.5
SH600058,20090612,0,0,0,0.32
SH600058,20100609,0,0,0,0.1
